手順,分類,行動する理由,媒体,想定案件,ID
1、案件のタイプを分類する（ニッチマーケット狙いorマスマーケット狙い）,ニッチ,自分ごと化させて行動してもらう,"リスティング
デマンドロング
ByteDance
meta
LINE
",塾、ペット,"1,2
7
19,22,23,24
25,28,29,30,31
33"
2、行動する理由を軸に分類し、獲得媒体を記載,ニッチ,to B向けに適した配信,"リスティング
GDN
デマンド静止画
デマンドロング
meta
",人材、不動産査定,"1,2
3,4
5,6
7
25,28,29,30,31"
3、獲得媒体の中での参考クリエイティブの参照（より具体的に制作→獲得のイメージをもってもらうため）,マス向け,オファーが魅力的、とにかく安い（無料、500円オファー、LINE追加など）,"デマンドロング
デマンドshorts
ByteDance
meta","DIO,メンズクリア","7,10,11
13,16,17
19,21,22,24
25,27,28,30,31"
,マス向け,訴求が強い、権威性がある、悩みが解決できる（治る）,"デマンドロング
デマンドshorts
ByteDance
meta",シボラナイト2,"7,8,11,12
13,14,17,18
19,22,23,24
25,28,29,31
"
,マス向け,新事実系、テクスチャーが特徴的,"デマンドロング
meta
LINE
",オイグルト、cocone，りそこ,"7
25
32,33
"
,,,,,
IDの参照項目,,,,,
ID,獲得媒体,配信先,獲得手法,参考URL1,参考URL2
1,リスティング,指名検索,指名入札,,
2,リスティング,一般検索,一般入札,,
3,GDN（静止画）,ブロード,バナー,,
4,GDN（静止画）,リターゲティング,リスト×バナー,,
5,デマンド静止画,"discover,Youtube限定","ニュース風
正方形バナー",,
6,デマンド静止画,gmail限定,メール風テキスト×画像,,
7,デマンドロング,YT面限定,語り,,
8,デマンドロング,YT面限定,文字,,
9,デマンドロング,YT面限定,漫画,,
10,デマンドロング,YT面限定,ドラマ,,
11,デマンドロング,YT面限定,イラスト、AI,,
12,デマンドロング,YT面限定,通常,,
13,デマンドshorts,YT面限定,語り,,
14,デマンドshorts,YT面限定,文字,,
15,デマンドshorts,YT面限定,漫画,,
16,デマンドshorts,YT面限定,ドラマ,,
17,デマンドshorts,YT面限定,イラスト、AI,,
18,デマンドshorts,YT面限定,通常,,
19,ByteDance,tiktok限定,語り,,
20,ByteDance,tiktok限定,漫画,,
21,ByteDance,tiktok限定,ドラマ,,
22,ByteDance,tiktok限定,イラスト、AI,,
23,ByteDance,tiktok限定,通常,普通の動画,お得系の動画（pangle用）
24,ByteDance,tiktok限定,バナー,,
25,meta,ストーリー、リールメイン,語り,,
26,meta,ストーリー、リールメイン,漫画,,
27,meta,ストーリー、リールメイン,ドラマ,,
28,meta,ストーリー、リールメイン,イラスト、AI,,
29,meta,ストーリー、リールメイン,通常,,
30,meta,縦型,バナー,,
31,meta,正方形,バナー,,
32,LINE,apng,"文字のみ
AI人物
通知風
ピクトグラム
イラスト
有名人・芸能人
商品画像",,
33,LINE,ニュース,"ニュース風
正方形バナー",,
34,LINE,voom,"通常
語り",,
35,LINE,adnetwork,"通常
語り",,